t, x, y, z
0, 1e+03, 0, 0
1, 707, 286, 6.61
2, 500, 477, 23.4
3, 354, 600, 46.9
4, 250, 675, 74.7
5, 177, 718, 105
6, 125, 738, 137
7, 88.4, 743, 169
8, 62.5, 737, 201
9, 44.2, 723, 232
10, 31.2, 705, 263
11, 22.1, 684, 294
12, 15.6, 662, 323
13, 11, 638, 351
14, 7.81, 614, 378
15, 5.52, 590, 404
16, 3.91, 567, 429
17, 2.76, 544, 453
18, 1.95, 522, 476
19, 1.38, 500, 498
20, 0.977, 479, 520
21, 0.691, 459, 540
22, 0.488, 440, 559
23, 0.345, 422, 578
24, 0.244, 404, 596
25, 0.173, 387, 613
26, 0.122, 370, 629
27, 0.0863, 355, 645
28, 0.061, 340, 660
29, 0.0432, 325, 675
30, 0.0305, 312, 688
31, 0.0216, 298, 702
32, 0.0153, 286, 714
33, 0.0108, 274, 726
34, 0.00763, 262, 738
35, 0.00539, 251, 749
36, 0.00381, 240, 760
37, 0.0027, 230, 770
38, 0.00191, 220, 780
39, 0.00135, 211, 789
40, 0.000954, 202, 798
41, 0.000674, 193, 807
42, 0.000477, 185, 815
43, 0.000337, 177, 823
44, 0.000238, 170, 830
45, 0.000169, 163, 837
46, 0.000119, 156, 844
47, 8.43e-05, 149, 851
48, 5.96e-05, 143, 857
49, 4.21e-05, 137, 863
50, 2.98e-05, 131, 869
51, 2.11e-05, 125, 875
