time/s,counts
0.042,1186
0.083,1163
0.125,1112
0.167,1098
0.209,1050
0.25,1057
0.292,1102
0.334,1078
0.376,987
0.417,916
0.459,981
0.501,971
0.543,958
0.584,933
0.626,938
0.668,899
0.71,855
0.751,861
0.793,839
0.835,762
0.877,833
0.918,817
0.96,710
1.002,740
1.043,788
1.085,763
1.127,760
1.169,835
1.21,755
1.252,747
1.294,655
1.336,649
1.377,661
1.419,655
1.461,654
1.503,602
1.544,626
1.586,618
1.628,607
1.67,656
1.711,641
1.753,613
1.795,618
1.837,636
1.878,627
1.92,606
1.962,605
2.004,607
2.045,612
2.087,482
2.129,488
2.17,488
2.212,486
2.254,484
2.296,480
2.337,482
2.379,488
2.421,481
2.463,477
2.504,484
2.546,475
2.588,477
2.63,476
